COUNTRY,Continent,Region,active_students,male,female,associate,bachelors,doctorate,flight_school,high_school,language_training,masters,other,other_vocational_school,primary,secondary,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
SERBIA,Europe,Southern Europe,1437,852,585,90,713,178,0,0,27,260,26,2,0,141,0,6,6,17,110,13,22,14,2,100,40,0,4,18,6,116,28,31,22,19,65,20,15,19,14,72,0,6,4,36,4,15,11,27,8,6,155,34,44,14,77,0,6,14,1,26,70,13,24,0,5,14,16,20,8
SERBIA AND MONTENEGRO,Europe,Southern Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEYCHELLES,Africa,Eastern Africa,9,4,5,0,4,0,1,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SIERRA LEONE,Africa,Western Africa,374,230,143,59,127,25,0,0,6,143,2,0,2,10,0,0,1,11,16,3,2,34,2,6,3,0,0,8,12,10,12,3,1,4,20,23,1,23,25,0,0,0,0,4,3,1,1,9,1,1,20,37,9,2,16,0,1,2,0,4,10,1,21,0,2,5,3,1,0
SINGAPORE,Asia,South-Eastern Asia,3864,2037,1826,65,1906,646,5,0,3,1025,151,12,1,50,1,5,1,26,893,21,84,41,2,54,82,0,20,15,8,244,70,6,8,5,533,44,6,82,27,20,0,0,0,90,3,4,28,55,2,4,663,39,14,26,275,0,57,10,2,13,95,22,43,0,4,88,28,0,1
SINT MAARTEN,North America,Caribbean,30,12,18,6,17,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,1,0,0,0,3,0,0,0,1,0,0,0,1,0,3,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
SLOVAKIA,Europe,Eastern Europe,411,209,202,29,193,29,0,0,11,62,6,2,3,76,1,5,3,3,55,4,11,5,4,30,6,0,4,3,2,9,10,6,2,3,35,3,6,9,10,15,0,3,0,12,2,5,2,7,2,0,38,8,7,1,15,0,4,2,0,5,18,4,11,0,3,3,13,2,0
SLOVENIA,Europe,Southern Europe,233,123,110,7,119,36,0,0,1,54,9,0,0,7,0,2,3,4,33,3,5,2,0,14,3,0,3,7,1,9,6,2,5,3,19,5,0,5,1,2,0,0,1,9,0,0,0,7,2,1,21,1,9,0,6,0,0,4,1,6,15,3,2,0,0,5,2,0,1
SOLOMON ISLANDS,Australia&Pacific Islands,Melanesia,9,3,6,1,4,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
SOMALIA,Africa,Eastern Africa,118,70,48,2,82,5,1,0,0,13,0,0,0,15,0,0,0,0,3,0,7,1,0,1,2,0,0,5,1,5,1,0,6,0,19,0,5,1,7,2,0,1,0,2,0,0,1,1,0,0,13,3,2,1,4,0,1,2,0,1,12,0,3,0,1,4,0,0,0
