COUNTRY,Continent,Region,active_students,male,female,associate,bachelors,doctorate,flight_school,high_school,language_training,masters,other,other_vocational_school,primary,secondary,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
GUINEA-BISSAU,Africa,Western Africa,14,8,6,1,6,1,0,0,4,0,2,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0
GUYANA,South America,South America,429,160,269,80,212,34,5,0,9,69,7,6,3,4,0,5,1,4,10,3,4,10,2,72,8,0,0,4,6,5,4,3,1,2,8,8,0,7,2,9,0,6,0,4,1,2,0,20,3,0,155,7,5,1,10,0,0,1,1,4,11,8,4,0,2,3,2,0,0
HAITI,North America,Caribbean,1027,601,426,192,494,74,0,0,40,169,18,2,9,29,0,12,77,5,25,6,10,7,2,255,29,0,0,39,6,17,18,12,19,11,59,10,6,19,11,25,0,2,7,25,1,3,1,12,4,0,86,18,14,2,25,0,5,22,4,17,19,14,22,0,1,4,10,4,0
HONDURAS,North America,Central America,2803,1304,1498,311,1443,185,3,0,280,478,62,3,3,35,0,35,61,12,91,16,12,27,1,426,107,0,1,38,23,67,76,26,24,168,115,18,1,48,18,45,0,49,0,95,8,9,4,31,7,4,140,53,40,5,68,0,2,11,10,131,374,165,67,0,3,21,13,4,1
HONG KONG,Asia,Eastern Asia,5860,3164,2694,356,2830,659,0,0,63,1155,173,16,85,523,0,10,2,65,1571,25,136,47,6,80,196,0,51,12,51,263,106,13,8,10,607,83,10,135,55,43,0,1,2,66,3,3,45,67,7,20,844,75,7,31,263,0,49,6,1,16,104,115,54,0,12,420,60,2,1
HUNGARY,Europe,Eastern Europe,902,436,465,70,452,94,3,0,38,142,25,5,6,67,0,4,6,11,147,10,21,10,1,97,23,0,12,4,2,26,22,11,10,3,58,10,11,19,12,24,0,3,0,24,0,5,2,15,4,10,107,17,8,5,29,0,5,9,5,19,22,6,24,0,4,3,13,8,1
ICELAND,Europe,Northern Europe,373,175,198,11,230,28,1,0,0,86,9,4,0,4,0,4,1,6,49,6,8,4,4,30,22,0,0,5,1,7,12,6,6,3,23,5,3,4,3,11,0,4,2,19,1,0,3,4,1,0,46,5,4,3,13,0,1,7,1,5,14,1,6,0,1,4,4,1,0
INDIA,Asia,Southern Asia,276486,172501,103894,2211,31733,25315,602,0,1114,213420,1815,70,12,194,22,2946,1827,9906,25193,2427,6598,1330,1676,8153,6446,0,33,1047,164,16994,8471,2708,9961,775,20413,5082,112,10833,2419,11243,0,613,60,5814,218,617,2892,9916,300,177,26655,10851,1703,1073,10395,0,504,1455,433,2382,32382,847,4972,0,79,2409,2680,226,43
INDONESIA,Asia,South-Eastern Asia,7192,3852,3338,704,4071,516,22,0,93,1392,315,6,3,70,1,33,17,70,2213,57,30,49,7,115,154,0,14,53,5,389,211,50,30,17,604,68,4,233,97,37,0,12,5,53,4,10,20,35,9,6,627,49,31,170,175,0,87,24,4,21,219,46,63,0,4,852,94,4,8
IRAN,Asia,Southern Asia,10526,5503,5022,98,414,7785,0,0,57,2066,83,0,0,23,1,176,61,248,1131,143,122,58,68,490,209,0,21,190,34,502,189,124,106,192,530,213,43,334,119,178,0,52,24,235,53,95,56,209,106,133,630,378,188,113,519,0,34,154,27,132,1033,136,376,0,28,123,142,48,20
IRAQ,Asia,Western Asia,378,268,110,18,120,133,1,0,15,74,12,0,0,5,0,2,11,6,24,5,8,8,1,15,3,0,0,7,9,7,7,5,5,3,17,1,4,17,9,22,0,2,0,11,1,6,2,3,7,0,16,25,8,10,23,0,2,1,0,3,28,3,18,0,1,6,4,1,1
IRELAND,Europe,Northern Europe,1287,778,508,68,633,150,4,0,0,324,79,3,1,25,0,19,4,9,105,12,39,10,2,60,25,0,1,26,6,41,65,22,24,17,117,10,5,34,9,25,0,15,4,48,2,7,7,34,5,2,165,24,20,7,76,0,13,7,5,41,61,1,18,0,1,13,14,7,3
ISLE OF MAN,Europe,Northern Europe,4,2,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISRAEL,Asia,Western Asia,2504,1713,790,133,856,304,40,0,79,426,588,14,3,61,0,11,2,21,265,18,40,21,1,194,33,0,5,11,1,74,22,7,9,5,197,63,6,27,17,9,0,3,2,27,1,3,2,62,14,4,1052,21,2,13,95,0,8,8,0,8,52,9,23,0,1,14,9,10,2
ITALY,Europe,Southern Europe,7777,4246,3527,450,2442,1347,61,1,438,1659,376,27,8,968,3,32,23,205,1164,56,120,84,10,848,135,0,24,44,27,360,118,62,67,39,758,76,55,146,58,130,0,23,9,219,11,26,33,219,22,19,1220,107,53,39,265,0,58,49,12,51,262,102,101,0,15,81,78,43,8
JAMAICA,North America,Caribbean,3838,1496,2341,717,2047,327,10,0,9,624,36,4,4,60,2,65,50,19,89,22,76,206,25,760,127,0,1,44,36,67,45,67,27,40,105,92,35,72,40,89,0,55,1,115,9,14,15,126,27,5,519,71,22,7,133,0,19,123,16,56,165,15,70,0,4,12,16,17,3
JAPAN,Asia,Eastern Asia,16797,8634,8161,2257,5568,930,304,0,2936,2333,1213,98,70,1088,1,82,174,308,4834,78,163,114,14,525,151,0,1072,159,46,456,189,194,98,17,859,102,37,187,271,206,0,29,17,149,105,185,60,141,28,104,2080,339,95,450,445,0,58,27,11,123,413,247,114,0,43,925,184,52,22
JERSEY,Europe,Northern Europe,5,2,3,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JORDAN,Asia,Western Asia,3382,2540,842,280,769,793,2,0,473,924,129,2,1,9,0,34,14,41,415,15,29,70,10,171,42,0,0,91,7,289,96,33,35,38,129,19,4,154,35,35,0,31,2,71,7,28,18,72,33,3,246,142,29,15,110,0,9,12,7,32,351,36,219,0,6,31,56,5,5
KAZAKHSTAN,Asia,Central Asia,3056,1517,1538,148,1066,305,10,0,446,833,104,2,3,139,1,12,10,64,539,41,22,41,5,253,34,0,2,19,7,155,65,13,11,6,355,23,9,40,21,14,0,9,0,40,1,4,14,128,4,2,510,46,13,15,142,0,12,5,3,17,126,37,63,0,7,55,36,3,2
KENYA,Africa,Eastern Africa,4977,2487,2488,844,2084,560,5,0,13,1289,60,6,6,110,5,135,37,75,297,40,92,44,29,139,134,0,4,91,18,221,94,112,62,78,276,82,16,169,284,201,0,27,6,163,11,29,54,93,34,9,251,155,128,37,233,0,27,33,33,107,306,28,127,0,19,236,62,26,6
KIRIBATI,Australia&Pacific Islands,Micronesia,7,7,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
KOSOVO,Europe,Southern Europe,210,98,112,19,111,24,0,0,10,42,2,0,0,2,0,0,1,2,17,4,5,2,0,6,5,0,1,12,1,15,3,1,3,3,14,0,1,6,2,2,0,1,0,5,0,2,3,4,0,2,47,2,0,0,7,0,2,1,0,1,14,0,8,0,1,2,2,0,0
KUWAIT,Asia,Western Asia,5087,3900,1184,116,3386,253,19,0,529,581,200,0,0,3,0,59,0,475,757,609,104,61,6,375,17,0,0,21,6,48,44,77,20,2,223,22,7,192,11,108,0,2,7,73,0,22,0,165,10,0,146,209,111,218,312,0,6,5,0,8,157,11,250,0,1,17,7,97,9
KYRGYZSTAN,Asia,Central Asia,1045,573,470,184,365,27,0,0,126,228,97,2,2,14,0,5,3,22,233,3,4,15,2,62,7,0,0,3,1,166,11,0,10,3,27,7,1,8,2,8,0,3,1,5,1,2,1,15,0,1,71,13,2,8,46,0,0,1,1,1,126,1,27,0,1,108,4,3,0
LAOS,Asia,South-Eastern Asia,162,81,80,31,66,2,0,0,29,14,3,3,2,12,0,0,1,2,48,0,4,0,0,6,3,0,2,4,0,6,0,0,0,2,3,2,2,2,15,2,0,0,0,0,0,0,0,0,0,4,5,0,1,4,1,0,0,0,0,8,18,4,3,0,0,5,4,1,0
LATVIA,Europe,Northern Europe,314,150,164,22,164,22,2,0,6,57,8,0,0,33,4,5,0,6,43,4,6,3,2,33,5,0,0,3,2,14,6,3,2,5,20,4,3,5,3,3,0,0,0,7,5,1,5,8,0,1,38,4,1,0,13,0,2,3,0,3,21,1,8,0,2,3,2,2,0
LEBANON,Asia,Western Asia,1987,1188,798,118,523,608,2,0,20,651,48,0,0,17,0,7,3,31,232,9,25,36,3,92,62,0,0,19,3,85,49,18,20,13,210,15,5,152,22,18,0,2,2,31,6,2,10,38,6,13,202,75,15,12,108,0,8,26,1,21,167,9,70,0,6,15,8,5,0
LESOTHO,Africa,Southern Africa,70,38,32,6,37,12,0,0,0,15,0,0,0,0,0,1,1,0,2,0,1,1,0,1,0,0,1,8,0,3,7,0,1,0,7,1,1,1,5,3,0,0,0,3,0,0,1,0,0,0,6,4,2,0,1,0,1,0,0,1,2,0,1,0,1,2,0,0,0
LIBERIA,Africa,Western Africa,311,160,151,34,143,23,0,0,0,86,3,0,4,18,0,3,1,5,17,2,7,6,5,8,10,0,2,13,2,11,7,0,7,0,19,14,1,11,30,4,0,2,0,20,3,2,0,4,1,0,18,12,3,1,27,0,0,6,0,3,9,1,6,0,1,2,4,1,0
LIBYA,Africa,Northern Africa,528,411,117,51,47,218,0,0,95,89,28,0,0,0,0,3,4,13,58,57,6,8,0,25,7,0,0,3,4,23,7,3,4,2,13,2,2,25,4,14,0,2,0,5,2,0,0,4,8,0,40,55,3,12,6,0,0,0,2,1,56,1,13,0,1,21,0,7,2
LIECHTENSTEIN,Europe,Western Europe,10,4,6,2,3,0,0,0,1,2,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LITHUANIA,Europe,Northern Europe,397,214,183,24,203,37,2,0,11,61,6,1,0,52,0,1,0,9,43,8,16,2,0,33,11,0,0,2,2,24,6,5,4,0,38,7,5,7,4,5,0,1,0,13,0,1,1,5,2,0,56,9,4,0,17,0,2,3,0,5,19,1,12,0,2,7,3,1,1
LUXEMBOURG,Europe,Western Europe,94,55,39,4,49,8,0,0,1,20,8,0,0,4,0,0,0,7,26,0,1,0,0,4,2,0,0,1,0,0,1,0,0,0,5,1,2,2,0,1,0,0,0,8,0,0,0,1,0,1,18,5,0,0,1,0,0,1,0,1,3,0,1,0,0,0,1,0,0
MACAU,Asia,Eastern Asia,359,189,170,14,199,33,0,0,2,89,7,0,0,15,0,2,0,11,120,0,3,1,1,4,10,0,1,0,1,8,7,2,0,0,51,8,0,6,1,3,0,0,1,3,0,1,1,5,0,0,44,9,1,0,13,0,3,0,0,1,8,1,6,0,0,18,3,0,0
MACEDONIA,Europe,Southern Europe,263,134,129,19,129,44,0,0,7,53,4,0,0,7,0,1,0,2,18,8,1,1,0,14,4,0,0,2,2,27,4,2,0,0,24,2,1,16,5,5,0,4,0,4,0,2,2,9,1,0,33,12,1,5,12,0,1,2,0,9,12,3,1,0,1,4,4,2,0
MADAGASCAR,Africa,Eastern Africa,266,136,130,56,86,29,0,0,9,51,30,1,0,4,0,1,1,6,53,0,0,0,0,4,1,0,0,1,5,14,6,2,5,3,7,5,1,26,3,0,0,1,1,3,0,2,1,0,4,0,13,4,3,1,12,0,2,4,1,1,21,9,14,0,1,23,1,0,0
MALAWI,Africa,Eastern Africa,470,229,241,76,146,65,0,0,4,162,6,0,0,11,0,10,5,12,24,9,10,4,3,10,8,0,0,6,6,11,18,6,6,2,20,11,4,43,11,13,0,4,0,5,2,41,1,4,3,1,19,38,10,7,22,0,1,4,2,4,20,2,7,0,1,10,6,3,1
MALAYSIA,Asia,South-Eastern Asia,4786,2635,2148,131,3059,490,3,0,19,958,71,12,11,32,0,12,27,89,831,48,44,15,9,93,80,0,11,221,16,198,172,108,40,23,225,52,10,316,171,73,0,8,1,47,13,119,11,57,4,5,318,206,99,61,215,0,16,11,17,20,158,32,56,0,4,168,240,12,3
MALDIVES,Asia,Southern Asia,29,15,14,0,14,1,7,0,0,5,1,0,0,1,0,0,0,0,1,0,1,0,0,3,0,0,0,2,0,2,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,0,0,0,0,0,7,0,0,0,1,0,0,0,0
MALI,Africa,Western Africa,351,216,135,68,142,12,0,0,50,61,5,0,1,12,0,4,1,4,13,0,1,5,10,15,17,0,0,4,0,6,5,6,4,1,9,14,8,7,10,7,0,0,0,7,1,4,1,11,0,1,44,12,3,4,27,0,0,0,0,2,49,16,8,0,0,5,2,1,1
MALTA,Europe,Southern Europe,85,49,36,2,52,7,0,0,0,12,7,0,0,5,0,1,0,1,14,2,1,1,0,2,6,0,1,0,0,5,1,1,0,0,12,0,0,0,2,0,0,1,0,2,0,0,0,3,0,0,20,1,0,2,2,0,1,0,0,1,0,0,2,0,0,0,0,0,0
MARSHALL ISLANDS,Australia&Pacific Islands,Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARTINIQUE,North America,Caribbean,4,2,2,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAURITANIA,Africa,Western Africa,47,38,9,5,19,4,1,0,2,14,2,0,0,0,0,0,0,1,2,0,0,2,0,2,0,0,0,7,0,2,0,0,7,0,0,0,0,1,1,1,0,0,0,4,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,3,0,7,0,0,0,0,1,0
MAURITIUS,Africa,Eastern Africa,272,122,150,9,152,41,1,0,3,64,2,0,0,0,0,1,0,4,26,1,8,4,1,19,3,0,0,4,1,14,7,1,2,1,22,3,2,4,6,2,0,1,0,5,0,1,3,4,0,0,36,5,3,3,48,0,0,0,4,2,9,3,4,0,2,1,1,1,0
MAYOTTE,Africa,Eastern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEXICO,North America,Central America,16851,8733,8114,1450,6010,1746,137,1,1509,2975,441,87,744,1751,2,60,82,607,2040,175,248,137,11,884,263,0,24,84,184,628,282,88,54,72,968,107,123,242,122,143,0,39,7,159,11,55,61,149,361,47,1277,150,115,87,359,0,101,59,11,85,4683,770,157,0,44,150,197,40,16
"MICRONESIA, FEDERATED STATES OF",Australia&Pacific Islands,Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOLDOVA,Europe,Eastern Europe,196,92,104,18,85,19,1,0,20,32,9,0,1,11,0,0,0,1,19,2,2,0,0,8,3,0,0,6,2,15,4,1,2,4,23,1,1,12,3,3,0,3,0,6,1,1,0,3,1,0,22,6,2,2,5,0,0,3,0,4,9,4,6,0,0,4,1,1,0
MONACO,Europe,Western Europe,15,4,11,2,3,2,0,0,0,5,2,1,0,0,0,0,0,1,4,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
MONGOLIA,Asia,Eastern Asia,2750,1119,1630,251,994,76,10,0,282,957,161,1,0,18,9,1,11,15,488,62,11,157,1,26,6,0,4,122,12,329,31,17,39,1,67,9,4,30,49,68,0,4,3,10,0,4,5,4,3,0,126,25,8,8,85,0,1,1,5,10,43,97,530,0,3,187,17,2,0
MONTENEGRO,Europe,Southern Europe,241,133,108,30,101,16,0,0,7,21,4,0,1,61,0,0,0,4,20,0,4,1,1,13,16,0,0,3,3,16,5,2,0,1,10,5,4,5,3,7,0,1,0,6,0,1,0,6,0,0,38,6,5,1,5,0,0,1,0,5,20,3,14,0,1,1,2,2,0
MONTSERRAT,North America,Caribbean,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MOROCCO,Africa,Northern Africa,1908,1079,829,209,702,233,3,0,143,498,91,3,0,26,0,6,11,15,189,6,35,29,6,164,50,0,1,47,3,108,43,18,18,6,195,15,3,25,28,13,0,110,1,76,4,4,11,37,10,3,228,50,19,8,67,0,10,11,6,10,86,9,51,0,4,45,3,9,2
MOZAMBIQUE,Africa,Eastern Africa,202,103,99,30,94,21,0,0,14,27,5,0,0,11,0,2,2,5,9,2,6,2,0,18,3,0,1,4,7,9,1,9,3,4,11,7,1,1,5,4,0,0,0,5,1,0,0,2,5,0,16,3,5,0,7,0,0,1,0,3,14,8,4,0,1,7,2,0,2
NAMIBIA,Africa,Southern Africa,125,51,74,10,58,17,0,0,3,28,2,4,0,3,0,1,4,4,9,1,1,0,0,6,2,0,0,7,5,5,4,2,2,0,9,2,0,1,4,2,0,0,0,5,0,2,1,3,3,0,8,1,4,0,3,0,0,1,0,3,10,1,4,0,0,3,1,1,0
NEPAL,Asia,Southern Asia,18382,11140,7238,2105,7853,3188,75,0,200,4804,148,0,1,8,6,272,231,97,619,153,242,159,125,312,245,0,26,360,322,562,232,268,722,780,577,269,74,347,747,531,0,332,21,179,79,165,64,348,187,63,1045,944,567,59,454,0,30,88,224,230,3965,150,435,0,81,160,130,62,40
NETHERLANDS,Europe,Western Europe,2757,1338,1417,282,1366,259,14,0,156,466,106,33,0,75,1,15,15,27,381,30,41,22,10,336,61,0,34,42,8,87,32,38,36,26,147,36,7,53,36,62,0,11,4,84,9,24,22,57,13,7,312,52,35,17,109,0,13,63,9,60,103,23,47,0,3,50,25,14,3
NETHERLANDS ANTILLES,North America,Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEW CALEDONIA,Australia&Pacific Islands,Melanesia,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
NEW ZEALAND,Australia&Pacific Islands,Oceania,1645,918,726,91,1000,153,2,0,1,292,38,12,10,46,2,14,9,18,293,24,38,11,4,42,34,0,18,18,8,54,38,12,13,7,134,15,5,37,12,28,0,4,8,54,1,18,8,34,10,5,212,20,17,20,88,0,28,19,5,26,62,24,22,0,4,44,12,11,1
NICARAGUA,North America,Central America,599,301,298,41,366,47,2,0,27,96,11,0,2,7,0,5,32,3,29,4,3,10,1,109,13,0,0,3,7,21,24,6,7,31,26,6,3,9,10,11,0,0,1,5,0,7,2,3,2,2,25,10,2,1,38,0,3,2,0,5,87,9,12,0,1,3,4,0,0
NIGER,Africa,Western Africa,194,118,76,44,54,12,0,0,48,27,4,0,0,5,0,0,10,1,2,1,4,0,2,9,20,0,0,1,2,7,4,0,1,0,1,6,2,1,6,1,0,1,0,20,2,2,0,12,2,0,37,4,6,1,7,0,0,0,0,3,3,0,6,0,2,5,0,0,0
